ID	Ontology Name	Authors	Institution	Country	Published	Links to papers	Full-text	Notes	Use cases	Used in		Analysis notes	Listed in LOV repo	Link to the actual ontology source/doc	Other Link	BibTex
20	Constructing and mining a semantic-based academic social network	"Duong, Trong Hai
 Nguyen, Ngoc Thanh 
 Jo, Geun Sik"	"Inha University, Korea
Wroclaw University of Technology, Poland"	Korea/Poland	2010	https://content.iospress.com/articles/journal-of-intelligent-and-fuzzy-systems/ifs00451	not available						no	"N/A
DOI: 10.1299/jamdsm.2017jamdsm0008"		"@article{DBLP:journals/jifs/DuongNJ10,
  author    = {Trong Hai Duong and
               Ngoc Thanh Nguyen and
               GeunSik Jo},
  title     = {Constructing and mining a semantic-based academic social network},
  journal   = {J. Intell. Fuzzy Syst.},
  volume    = {21},
  number    = {3},
  pages     = {197--207},
  year      = {2010},
  url       = {https://doi.org/10.3233/IFS-2010-0451},
  doi       = {10.3233/IFS-2010-0451},
  timestamp = {Sat, 25 Apr 2020 13:53:19 +0200},
  biburl    = {https://dblp.org/rec/journals/jifs/DuongNJ10.bib},
  bibsource = {dblp computer science bibliography, https://dblp.org}
}"
21	Informatics Research Artifact Ontology	"Nguyen, Viet Bach,
Svátek, Vojtěch"	University of Economics, Prague	Czech Republic	2020	N/A	N/A		"• conference resource tracks
• reivew recommendation
• post-graduate research recommendations"				no	https://w3id.org/def/InformaticsResearchArtifactsOntology		-
22	Scholarly Ontology	Vayianos Pertsas, Panos Constantopoulos	Athens University of Economics and Business,A	Greece	2017	https://s3.amazonaws.com/academia.edu.documents/47224755/ScholarlyOntology_PertsasConstantopoulos_IJDL.pdf?response-content-disposition=inline%3B%20filename%3DScholarly_Ontology_Modelling_Scholarly_P.pdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=ASIATUSBJ6BADFXPRKOL%2F20200530%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20200530T170313Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Security-Token=IQoJb3JpZ2luX2VjEK%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIGr%2BEoYUuqPrsiMpk1JEQMlzH%2FQ3NLAw44ZXcdJFa1lBAiEA3vWezRoUvcIxmo3dC8p51c9Wd9DWDG90EBof3hrOi9cqtAMIFxAAGgwyNTAzMTg4MTEyMDAiDEzpMDX8SkmAD68nbSqRA4ryaGQS%2Fe6oL7Qx2i%2FwBMSrdUVm0tUl0FFhPebKnwM6i1Mna90I6zfGfPhFurwHXvwtWfsB86NHOrAwqmEX9lxTPyC3uEAjSt8PEs4dt4RoqAZZINOwdrqhfqPbfJEBI8NNVMyTwVCMarehY4J0pBOsakGg6kEgyVwkFsftOZvWTIXK0hBe13JJkk5TOqarQilJSuIt44JIErdU1zgGbdN2bl4ZFMdxgGXAD0EwvE23%2FM7t4f31kdvFkh%2BZd9R6l5iDxAC4B0BKW9l446OuB%2FhBtexFMiY1skHQX1E9TxNokUV2bV1DztXm1z1uJyoFd1cDq1%2BrNkr5O6DDDJLzbWfDLxjZGbvtA6Q36awX%2FPnsyCpbk7vj2L1pRWr%2BiDfbDdb1a30orCxoxLSvAtfPxTeNe%2BAoXmPjf%2FPW6JUdS%2FocQifI71LcHFAayRHLYJKLsy6IOKO%2B0xOl2LvZCo5RzlOjfH81EkBdOiaZElvkwBaQNTbfv6ksZ8LwfFW7glYTIx8%2Fijev9F3czEEysSYx7qsEMN7PyfYFOusBMkWfGVylqkYvHb%2FJrMcyPCehD7dTDU2rLxjYM6kFKVzs0PgZ8kkEkaOdGHy28ANOAe33n4oJd%2BKn6HEK9m45w3tzZ4SqUBbvP%2Fu4RQwnerYW82KmGPmVFakCx%2FA2nGYP7xsfRapgFMEfb8NNMXuWIMnQK63kgYpAtUlOFp8bleDDVb6zUxpUb1s2vZMXaY8Q93i3Fijqtnv5Y6%2FcpXUGEaZpx1pBBZjGr9TWHSeYtHX8XUtn1lj8Uybn%2BRo7ftizZnZx0n27nR0HQlgw5ayxBqqHchl2GTO2IL3%2Be1x0Uxz%2BYkT4XGaOYIdhfQ%3D%3D&X-Amz-Signature=d3d06a5046d0b27ab3275010e22fddce6419f1bd251fc65cd453368eea941d82	Full-text available							http://isdb.cs.aueb.gr/scholarlyontology/ScholarlyOntology		"@article{DBLP:journals/jodl/PertsasC17,
  author    = {Vayianos Pertsas and
               Panos Constantopoulos},
  title     = {Scholarly Ontology: modelling scholarly practices},
  journal   = {Int. J. on Digital Libraries},
  volume    = {18},
  number    = {3},
  pages     = {173--190},
  year      = {2017},
  url       = {https://doi.org/10.1007/s00799-016-0169-3},
  doi       = {10.1007/s00799-016-0169-3},
  timestamp = {Tue, 22 Aug 2017 17:02:38 +0200},
  biburl    = {https://dblp.org/rec/journals/jodl/PertsasC17.bib},
  bibsource = {dblp computer science bibliography, https://dblp.org}
}"
23	CERIF	"Iván Ruiz Rube, 
Keith G Jeffery, 
Jan Dvorak, 
Brigitte Joerg, 
Geert van Grootel, 
Miguel Ángel Sicilia"	euroCRIS	Netherlands	2013	-	N/A							https://www.eurocris.org/ontologies/cerif/		
24	SemSur	"Said Fathalla
Sören Auer
Christoph Lange"		Germany	2018	https://www.researchgate.net/publication/323167072_SemSur_A_Core_Ontology_for_the_Semantic_Representation_of_Research_Findings	N/A							https://saidfathalla.github.io/SemSur/doc/		"@inproceedings{DBLP:conf/i-semantics/FathallaVA018,
  author    = {Said Fathalla and
               Sahar Vahdati and
               S{\""{o}}ren Auer and
               Christoph Lange},
  editor    = {Anna Fensel and
               Victor de Boer and
               Tassilo Pellegrini and
               Elmar Kiesling and
               Bernhard Haslhofer and
               Laura Hollink and
               Alexander Schindler},
  title     = {SemSur: {A} Core Ontology for the Semantic Representation of Research
               Findings},
  booktitle = {Proceedings of the 14th International Conference on Semantic Systems,
               {SEMANTICS} 2018, Vienna, Austria, September 10-13, 2018},
  series    = {Procedia Computer Science},
  volume    = {137},
  pages     = {151--162},
  publisher = {Elsevier},
  year      = {2018},
  url       = {https://doi.org/10.1016/j.procs.2018.09.015},
  doi       = {10.1016/j.procs.2018.09.015},
  timestamp = {Thu, 01 Nov 2018 18:40:31 +0100},
  biburl    = {https://dblp.org/rec/conf/i-semantics/FathallaVA018.bib},
  bibsource = {dblp computer science bibliography, https://dblp.org}
}"
25	SEDE	"Senator Jeong
Hong-Gee Kim"		Korea	2009	https://www.researchgate.net/publication/200704228_SEDE_An_ontology_for_scholarly_event_description	Full-text available							https://www.researchgate.net/publication/200704228_SEDE_An_ontology_for_scholarly_event_description		"@article{DBLP:journals/jis/JeongK10,
  author    = {Senator Jeong and
               Hong{-}Gee Kim},
  title     = {{SEDE:} An ontology for scholarly event description},
  journal   = {J. Inf. Sci.},
  volume    = {36},
  number    = {2},
  pages     = {209--227},
  year      = {2010},
  url       = {https://doi.org/10.1177/0165551509358487},
  doi       = {10.1177/0165551509358487},
  timestamp = {Thu, 06 Jun 2019 17:27:47 +0200},
  biburl    = {https://dblp.org/rec/journals/jis/JeongK10.bib},
  bibsource = {dblp computer science bibliography, https://dblp.org}
}"
26	AcademIS	"Evangelia Triperina
C. Sgouropoulou
A. Tsolakidis"		Greece	2013	https://kopernio.com/viewer?doi=10.1145%2F2491845.2491884&token=WzI0MDgxNDIsIjEwLjExNDUvMjQ5MTg0NS4yNDkxODg0Il0.4_tDo-1HwCggGolS2XTubglnTbA	Full-text available							https://kopernio.com/viewer?doi=10.1145%2F2491845.2491884&token=WzI0MDgxNDIsIjEwLjExNDUvMjQ5MTg0NS4yNDkxODg0Il0.4_tDo-1HwCggGolS2XTubglnTbA		"@inproceedings{DBLP:conf/pci/TriperinaST13,
  author    = {Evangelia Triperina and
               Cleo Sgouropoulou and
               Anastasios Tsolakidis},
  editor    = {Panayiotis H. Ketikidis and
               Konstantinos G. Margaritis and
               Ioannis P. Vlahavas and
               Alexander Chatzigeorgiou and
               George Eleftherakis and
               Ioannis Stamelos},
  title     = {AcademIS: an ontology for representing academic activity and collaborations
               within HEIs},
  booktitle = {17th Panhellenic Conference on Informatics, {PCI} 2013, Thessaloniki,
               Greece - September 19 - 21, 2013},
  pages     = {264--271},
  publisher = {{ACM}},
  year      = {2013},
  url       = {https://doi.org/10.1145/2491845.2491884},
  doi       = {10.1145/2491845.2491884},
  timestamp = {Tue, 06 Nov 2018 11:06:43 +0100},
  biburl    = {https://dblp.org/rec/conf/pci/TriperinaST13.bib},
  bibsource = {dblp computer science bibliography, https://dblp.org}
}"
																
1	FaBiO	Silvio Peroni, David Shotton	"University of Bologna, 
University of Oxford"	Italy, UK	2012	http://speroni.web.cs.unibo.it/publications/peroni-2012-fabio-cito-ontologies.pdf	Full-text available		"1. It is an ontology for describing entities that are published or potentially publishable (e.g., journal articles, conference papers, books), and that contain or are referred to by bibliographic references.
2. They also include blogs, web pages, datasets, computer algorithms, experimental protocols, formal specifications and vocabularies, legal records, governmental papers, technical and commercial reports, and similar publications, and also anthologies, catalogs, and similar collections.
3. FaBiO has been developed so to limit any restriction to its classes as well as the domains and ranges of its properties. This flexibility has the great advantage of allowing FaBiO to be used together with other models."				Yes https://lov.linkeddata.es/dataset/lov/vocabs/fabio	http://purl.org/spar/fabio		"@article{DBLP:journals/ws/PeroniS12,
  author    = {Silvio Peroni and
               David M. Shotton},
  title     = {FaBiO and CiTO: Ontologies for describing bibliographic resources
               and citations},
  journal   = {J. Web Semant.},
  volume    = {17},
  pages     = {33--43},
  year      = {2012},
  url       = {https://doi.org/10.1016/j.websem.2012.08.001},
  doi       = {10.1016/j.websem.2012.08.001},
  timestamp = {Tue, 29 Jan 2019 12:27:04 +0100},
  biburl    = {https://dblp.org/rec/journals/ws/PeroniS12.bib},
  bibsource = {dblp computer science bibliography, https://dblp.org}
}"
2	Citation Typing Ontology (CiTO)	Silvio Peroni, David Shotton	"University of Bologna, 
University of Oxford"	Italy, UK	2012	http://speroni.web.cs.unibo.it/publications/peroni-2012-fabio-cito-ontologies.pdf	Full-text available		"1. It is an ontology that enables characterization of the nature or type of citations, both factually and rhetorically.
2. All these properties (and, consequently, their inverses) may be classified as rhetorical and/or factual, with the rhetorical properties being grouped in three sets depending on their connotation: positive, informative (or neutral) or negative.
3. All the domain and range constraints from the object properties are not defined, so that this ontology could be easily integrated with other models, e.g., FaBiO.
4. Two other ontologies have been defined for explicitly describing specific aspects of CiTO (1. Functions of Citations Ontology (FOCO), 2. CiTO to Wordnet Ontology (C2W)).
"				Yes https://lov.linkeddata.es/dataset/lov/vocabs/cito	http://purl.org/spar/cito		"@article{DBLP:journals/biomedsem/Shotton10,
  author    = {David M. Shotton},
  title     = {CiTO, the Citation Typing Ontology},
  journal   = {J. Biomedical Semantics},
  volume    = {1},
  number    = {{S-1}},
  pages     = {S6},
  year      = {2010},
  url       = {http://www.jbiomedsem.com/content/1/S1/S6},
  timestamp = {Tue, 23 May 2017 14:37:25 +0200},
  biburl    = {https://dblp.org/rec/journals/biomedsem/Shotton10.bib},
  bibsource = {dblp computer science bibliography, https://dblp.org}
}"
3	Bibliographic Reference Ontology (BiRO)	"Angelo Di Iorio, Andrea Giovanni Nuzzolese, Silvio Peroni,
David Shotton, and Fabio Vitali"	University of Bologna (Italy), Consiglio Nazionale delle Ricerche (Italy), University of Oxford (UK)	Italy, UK	2014	http://ceur-ws.org/Vol-1155/paper-05.pdf	Full-text available		"1. This is an ontology meant to define bibliographic records, bibliographic references, and their compilation into bibliographic collections and bibliographic lists, respectively.
2. BiRO uses an OWL-based definition of the FRBR model to define bibliographic references and their compilation into ordered bibliographic lists, by means of the Collections Ontology.
"				Yes https://lov.linkeddata.es/dataset/lov/vocabs/biro	http://purl.org/spar/biro		"@inproceedings{DBLP:conf/esws/IorioNPSV14,
  author    = {Angelo Di Iorio and
               Andrea Giovanni Nuzzolese and
               Silvio Peroni and
               David M. Shotton and
               Fabio Vitali},
  editor    = {Alexander Garc{\'{\i}}a Castro and
               Christoph Lange and
               Phillip W. Lord and
               Robert Stevens},
  title     = {Describing bibliographic references in {RDF}},
  booktitle = {Proceedings of the 4th Workshop on Semantic Publishing co-located
               with the 11th Extended Semantic Web Conference {(ESWC} 2014), Anissaras,
               Greece, May 25th, 2014},
  series    = {{CEUR} Workshop Proceedings},
  volume    = {1155},
  publisher = {CEUR-WS.org},
  year      = {2014},
  url       = {http://ceur-ws.org/Vol-1155/paper-05.pdf},
  timestamp = {Wed, 12 Feb 2020 16:45:12 +0100},
  biburl    = {https://dblp.org/rec/conf/esws/IorioNPSV14.bib},
  bibsource = {dblp computer science bibliography, https://dblp.org}
}"
4	Citation Counting and Context Characterisation Ontology (C4O)	"Angelo Di Iorio, Andrea Giovanni Nuzzolese, Silvio Peroni,
David Shotton, and Fabio Vitali"	University of Bologna (Italy), Consiglio Nazionale delle Ricerche (Italy), University of Oxford (UK)	Italy, UK	2014	http://ceur-ws.org/Vol-1155/paper-05.pdf	Full-text available		"1. This is an ontology that permits the number of in-text citations of a cited source to be recorded, together with their textual citation contexts, along with the number of citations a cited entity has received globally on a particular date.
2. It is also useful to describe how these references are used in the citing paper.
3.C4O provides the ontological structures which allow one to record the number of in-text citations i.e., the number of in-text reference pointers to a single reference in the reference list of the citing article."				Yes https://lov.linkeddata.es/dataset/lov/vocabs/c4o	http://purl.org/spar/c4o		"@inproceedings{DBLP:conf/semweb/OsbornePM14,
  author    = {Francesco Osborne and
               Silvio Peroni and
               Enrico Motta},
  editor    = {Jun Zhao and
               Marieke van Erp and
               Carsten Ke{\ss}ler and
               Tomi Kauppinen and
               Jacco van Ossenbruggen and
               Willem Robert van Hage},
  title     = {Clustering Citation Distributions for Semantic Categorization and
               Citation Prediction},
  booktitle = {Proceedings of the 4th Workshop on Linked Science 2014 - Making Sense
               Out of Data {(LISC2014)} co-located with the 13th International Semantic
               Web Conference {(ISWC} 2014), Riva del Garda, Italy, October 19, 2014},
  series    = {{CEUR} Workshop Proceedings},
  volume    = {1282},
  pages     = {24--35},
  publisher = {CEUR-WS.org},
  year      = {2014},
  url       = {http://ceur-ws.org/Vol-1282/lisc2014\_submission\_9.pdf},
  timestamp = {Wed, 12 Feb 2020 16:44:52 +0100},
  biburl    = {https://dblp.org/rec/conf/semweb/OsbornePM14.bib},
  bibsource = {dblp computer science bibliography, https://dblp.org}
}"
5	Document Components Ontology (DoCO)	Alexandru Constantin, Silvio Peroni, Steve Pettifer, David Shotton, Fabio Vitali	École Polytechnique Fédérale de Lausanne, University of Bologna, Institute of Cognitive Sciences and Technologies (National Research Council), University of Manchester, University of Oxford 	Switzerland, Italy, Italy, UK, UK	2016	https://content.iospress.com/articles/semantic-web/sw177	Full-text available		"1. This is an ontology that provides a structured vocabulary written of document components, both structural (e.g., block, inline, paragraph, section, chapter) and rhetorical (e.g., introduction, discussion, acknowledgments, reference list, figure, appendix).
2. DoCO imports the Pattern Ontology that describes structural patterns (introduced in the paper entitled ""Dealing with structural patterns of XML documents""), and the Discourse Element Ontology (DEO), which was developed with DoCO and describes rhetorical components.
3. It also defines hybrid classes describing elements that are both structural and rhetorical in nature, such as paragraph, section or list. DoCO is also aligned with the SALT Rhetorical Ontology and the Ontology of Rhetorical Blocks (ORB)."				Yes https://lov.linkeddata.es/dataset/lov/vocabs/doco	http://purl.org/spar/doco		"@article{DBLP:journals/semweb/ConstantinPPSV16,
  author    = {Alexandru Constantin and
               Silvio Peroni and
               Steve Pettifer and
               David M. Shotton and
               Fabio Vitali},
  title     = {The Document Components Ontology (DoCO)},
  journal   = {Semantic Web},
  volume    = {7},
  number    = {2},
  pages     = {167--181},
  year      = {2016},
  url       = {https://doi.org/10.3233/SW-150177},
  doi       = {10.3233/SW-150177},
  timestamp = {Wed, 25 Sep 2019 17:53:41 +0200},
  biburl    = {https://dblp.org/rec/journals/semweb/ConstantinPPSV16.bib},
  bibsource = {dblp computer science bibliography, https://dblp.org}
}"
6	Publishing Status Ontology (PSO)	Silvio Peroni, David Shotton, Fabio Vitali	University of Bologna, University of Oxford, University of Bologna	Italy, UK, Italy	2012	http://speroni.web.cs.unibo.it/publications/peroni-2012-scholarly-publishing-linked.pdf	Full-text available		"1. This is an ontology designed to characterize the publication status of documents at each stage of the publishing process (draft, submitted, under review, etc.).
2. Documents can hold a particular status at a certain time as a direct consequence of a particular event.
3. Pre Existing ontologies describing the status of documents (e.g., BIBO, the Project Documents Ontology, and the Document Status Ontology), relay for this on specific property links but this approach prevents a proper description of scenarios that require a temporal duration for each status.
4. PSO, the Publishing Status Ontology, has been developed in order to address these issues in a more satisfactory manner.
5. with PRO, PSO was developed following the TVC pattern, i.e., a model for describing scenarios in which something has value during a particular time and for a particular context. "				Yes https://lov.linkeddata.es/dataset/lov/vocabs/pso	http://purl.org/spar/pso		"@inproceedings{DBLP:conf/i-semantics/PeroniSV12,
  author    = {Silvio Peroni and
               David M. Shotton and
               Fabio Vitali},
  editor    = {Valentina Presutti and
               Helena Sofia Pinto},
  title     = {Scholarly publishing and linked data: describing roles, statuses,
               temporal and contextual extents},
  booktitle = {{I-SEMANTICS} 2012 - 8th International Conference on Semantic Systems,
               {I-SEMANTICS} '12, Graz, Austria, September 5-7, 2012},
  pages     = {9--16},
  publisher = {{ACM}},
  year      = {2012},
  url       = {https://doi.org/10.1145/2362499.2362502},
  doi       = {10.1145/2362499.2362502},
  timestamp = {Wed, 14 Nov 2018 10:55:56 +0100},
  biburl    = {https://dblp.org/rec/conf/i-semantics/PeroniSV12.bib},
  bibsource = {dblp computer science bibliography, https://dblp.org}
}"
7	Publishing Roles Ontology (PRO)	Silvio Peroni, David Shotton, Fabio Vitali	University of Bologna, University of Oxford, University of Bologna	Italy, UK, Italy	2012	http://speroni.web.cs.unibo.it/publications/peroni-2012-scholarly-publishing-linked.pdf	Full-text available		"1. PRO is an ontology for the characterization of the roles of agents – people, corporate bodies and computational agents in the publication process. These agents can be, e.g. authors, editors, reviewers, publishers or librarians.
2. Define publishing roles is crucial for providing a complete description of a scholarly resource such as a paper or a dataset.
3. Using TVC pattern – i.e., a model for describing scenarios in which something has value during a particular time and for a particular context – as the basis, they have implemented PRO, the Publishing Roles Ontology. "				Yes https://lov.linkeddata.es/dataset/lov/vocabs/pro	http://purl.org/spar/pro		"@inproceedings{DBLP:conf/i-semantics/PeroniSV12,
  author    = {Silvio Peroni and
               David M. Shotton and
               Fabio Vitali},
  editor    = {Valentina Presutti and
               Helena Sofia Pinto},
  title     = {Scholarly publishing and linked data: describing roles, statuses,
               temporal and contextual extents},
  booktitle = {{I-SEMANTICS} 2012 - 8th International Conference on Semantic Systems,
               {I-SEMANTICS} '12, Graz, Austria, September 5-7, 2012},
  pages     = {9--16},
  publisher = {{ACM}},
  year      = {2012},
  url       = {https://doi.org/10.1145/2362499.2362502},
  doi       = {10.1145/2362499.2362502},
  timestamp = {Wed, 14 Nov 2018 10:55:56 +0100},
  biburl    = {https://dblp.org/rec/conf/i-semantics/PeroniSV12.bib},
  bibsource = {dblp computer science bibliography, https://dblp.org}
}"
8	Publishing Workflow Ontology (PWO)	Aldo Gangemi, Silvio Peroni, David Shotton, Fabio Vitali 	Consiglio Nazionale delle Ricerche , Université Paris 13, University of Bologna,  University of Oxford, University of Bologna	Italy, France, Italy, UK, Italy	2014	http://www.semantic-web-journal.net/system/files/swj1301.pdf	Full-text available		"1. This is a simple ontology for describing the steps in the workflow associated with the publication of a document or other publication entity.
2. PWO works based on two main classes Workflow and Step."				Yes https://lov.linkeddata.es/dataset/lov/vocabs/pwo	http://purl.org/spar/pwo		"@article{DBLP:journals/semweb/GangemiPSV17,
  author    = {Aldo Gangemi and
               Silvio Peroni and
               David M. Shotton and
               Fabio Vitali},
  title     = {The Publishing Workflow Ontology {(PWO)}},
  journal   = {Semantic Web},
  volume    = {8},
  number    = {5},
  pages     = {703--718},
  year      = {2017},
  url       = {https://doi.org/10.3233/SW-160230},
  doi       = {10.3233/SW-160230},
  timestamp = {Wed, 14 Nov 2018 10:33:52 +0100},
  biburl    = {https://dblp.org/rec/journals/semweb/GangemiPSV17.bib},
  bibsource = {dblp computer science bibliography, https://dblp.org}
}"
9	Scholarly Contributions and Roles Ontology (SCoRO)	David Shotton, Silvio Peroni		Italy, France 		https://semanticpublishing.wordpress.com/2013/04/19/scorf/	Blog		1. SCoRO is the Scholarly Contributions, and Roles Ontology is a CERIF-compliant ontology for use by authors, publishers, and research administrators, for describe the contributions and roles of scholars, and the organizations of which they are members, with respect to projects, research investigations, and other academic activities, and to the scholarly journal articles and other outputs that result from them. 				Yes https://lov.linkeddata.es/dataset/lov/vocabs/scoro	http://purl.org/spar/scoro/		"@online{Scoro,
    author = ""David Shotton, Silvio Peroni"",
    title = ""SCoRO, the Scholarly Contributions and Roles Ontology"",
    url  = ""https://sparontologies.github.io/scoro/current/scoro.html"",
    addendum = ""(accessed: 13.05.2020)"",
    keywords = ""SCoRO""
}"
10	Funding, Research Administration and Projects Ontology (FRAPO) 	David Shotton, Silvio Peroni			2017	https://sparontologies.github.io/frapo/current/frapo.html	Blog		"1. FRAPO is the Funding, Research Administration and Projects Ontology, which is a CERIF-compliant ontology for describing administrative information relating to grant funding and research projects.
2. It can be used for the characterization of grant applications, funding bodies, research projects, project partners, etc., in other words, the sort of information stored in Current Research Information Systems (CRIS).
3. It can also be used to describe other types of projects, for example, building projects and educational projects.
4. Imports FOAF for characterizing people."				Yes https://lov.linkeddata.es/dataset/lov/vocabs/frapo	http://purl.org/cerif/frapo/		"@online{Frapo,
    author = ""David Shotton, Silvio Peroni"",
    title = ""FRAPO, the Funding, Research Administration and Projects Ontology"",
    url  = ""https://sparontologies.github.io/frapo/current/frapo.html"",
    addendum = ""(accessed: 13.05.2020)"",
    keywords = ""FRAPO""
}"
11	DataCite Ontology (DataCite)	David Shotton, Silvio Peroni, Amy J. Barton, Egbert Gramsbergen, Jan Ashton, Marie-Christine Jacquemot			2018	https://sparontologies.github.io/datacite/current/datacite.html	Blog		"1. The main intent of the DataCite Ontology is to provide a flexible mechanism to define the identifier for bibliographic resources (e.g., papers and datasets) and related entities (e.g., authors). 
2.  It is also possible to provide a link between a resource, such as a dataset, and the document describing its metadata by means of CiTO, using the property cito: citesAsMetadataDocument, and FaBiO, by means of the class fabio: MetadataDocument.
3. In addition to these entities, the DataCite Ontology provides appropriate classes and properties to specify the particular scheme followed for creating the resource metadata exemplified in the metadata document."				No	http://purl.org/spar/datacite	https://sparontologies.github.io/datacite/current/datacite.html	"@online{DataCite_Ontology,
    author = ""David Shotton, Silvio Peroni, Amy J. Barton, Egbert Gramsbergen, Jan Ashton, Marie-Christine Jacquemot"",
    title = ""The DataCite Ontology"",
    url  = ""https://sparontologies.github.io/datacite/current/datacite.html"",
    addendum = ""(accessed: 13.05.2020)"",
    keywords = ""DataCite Ontology""
}"
12	Bibliometric Data Ontology (BiDO)	Francesco Osborne, Silvio Peroni, Enrico Motta	The Open University, University of Bologna, Institute of Cognitive Sciences and Technologies	UK, Italy, Italy	2014	http://ceur-ws.org/Vol-1282/lisc2014_submission_9.pdf	Full-text available		"1. BiDO developed a well-known model for enabling the classification of authors and journals according to bibliometric data is crucial to allow one to query, share and reuse such data in a different context, e.g., for providing smart visualization of bibliometric data for sense-making activities and for enabling automatic reasoning on them. 
2. The core module of the ontology allows us to describe any entity and the related bibliometric data at a certain time and according to a certain agent.
3. BiDO is composed of three different modules and those are 1. Standard bibliometric measures, 2. Research career categories, 3. Review measures."				NO	http://purl.org/spar/bido	https://sparontologies.github.io/bido/current/bido.html	"@inproceedings{tapia2019extension,
  title={Extension of the BiDO Ontology to Represent Scientific Production},
  author={Tapia-Leon, Mariela and Santana-Perez, Idafen and Poveda-Villal{\'o}n, Mar{\'\i}a and Espinoza-Arias, Paola and Chicaiza, Janneth and Corcho, Oscar},
  booktitle={Proceedings of the 2019 8th International Conference on Educational and Information Technology},
  pages={166--172},
  year={2019}
}"
13	Five Stars of Online Research Articles Ontology (FiveStars) 	David Shotton	University of Oxford	UK	2012	http://www.dlib.org/dlib/january12/shotton/01shotton.html	Full-text available		"1. Peer review, open access, enriched content, available datasets, and machine-readable metadata are the core components of the Five Stars of Online Journal Articles, a constellation of five independent criteria within a multi-dimensional publishing universe against which online journal articles can be evaluated, to see how well they match up with current visions for enhanced research communications. 
2. These Five Stars of Online Journal Articles provide a conceptual framework by which to judge the degree to which any article achieves or falls short of the ideal, which should be useful to authors, editors, and publishers."				No	http://purl.org/spar/fivestars	https://sparontologies.github.io/fivestars/current/fivestars.html	"@article{DBLP:journals/dlib/Shotton12,
  author    = {David M. Shotton},
  title     = {The Five Stars of Online Journal Articles - a Framework for Article
               Evaluation},
  journal   = {D-Lib Mag.},
  volume    = {18},
  number    = {1/2},
  year      = {2012},
  url       = {https://doi.org/10.1045/january2012-shotton},
  doi       = {10.1045/january2012-shotton},
  timestamp = {Thu, 06 Jun 2019 19:03:57 +0200},
  biburl    = {https://dblp.org/rec/journals/dlib/Shotton12.bib},
  bibsource = {dblp computer science bibliography, https://dblp.org}
}"
14	FAIR* Reviews Ontology (FR)	"Idafen Santana-Pérez,
María Poveda-Villalón"	University of Las Palmas de Gran Canaria, University of Las Palmas de Gran Canaria	Spain	2017	http://fairreviews.linkeddata.es/def/core/index.html	Blog	ongoing project	1. FAIR* is a review Ontology (FR) that defines a set of classes, properties, and axioms, for describing research reviews as semantic objects, reusing standard existing vocabularies using ontology engineering techniques.				No	http://purl.org/spar/fr	http://fairreviews.linkeddata.es/def/core/index.html 	"@online{Fair,
    author = ""Idafen Santana-Pérez María Poveda-Villalón"",
    title = ""FAIR* Reviews ontology"",
    url  = ""http://fairreviews.linkeddata.es/def/core/index.html"",
    addendum = ""(accessed: 13.05.2020)"",
    keywords = ""FAIR""
}"
15	Extension of the BiDO Ontology to Represent Scientific Production	"Mariela Tapia-León, Idafen Santana Pérez,
María Poveda-Villalón, Paola  Espinoza-Arias,
Janneth  Chicaiza, Óscar Corcho
 "	Universidad de Guayaquil, Universidad Politécnica de Madrid, Universidad Politécnica de Madrid, Universidad Politécnica de Madrid, Universidad de Guayaquil, Universidad Politécnica de Madrid	Ecuador, Spain	2019	https://dl.acm.org/doi/10.1145/3318396.3318422	Full-text available		"1. They proposed an extension to the BiDO Ontology, particularly to BiDO Standard Bibliometric Measures.
"				No	http://purl.org/spar/bido-standard-bibliometric-measures	New	"@inproceedings{tapia2019extension,
  title={Extension of the BiDO Ontology to Represent Scientific Production},
  author={Tapia-Leon, Mariela and Santana-Perez, Idafen and Poveda-Villal{\'o}n, Mar{\'\i}a and Espinoza-Arias, Paola and Chicaiza, Janneth and Corcho, Oscar},
  booktitle={Proceedings of the 2019 8th International Conference on Educational and Information Technology},
  pages={166--172},
  year={2019}
}"
16	OpenCitations	 David Shotton	University of Oxford	UK	2013	https://www.nature.com/news/publishing-open-citations-1.13937	Full-text available		"1. The OpenCitations Data Model (OCDM) is the metadata model used for the data stored in all the OpenCitations' datasets. 
2. The OCDM allows one to record information about: 1. published bibliographic resources, 2. possible resource embodiments, 3. bibliographic references, 4.responsible agents, 5. roles, 6. citations, 7.external identifiers.
"				No	https://opencitations.net/	http://opencitations.net/	"@article{DBLP:journals/corr/abs-1906-11964,
  author    = {Silvio Peroni and
               David M. Shotton},
  title     = {OpenCitations},
  journal   = {CoRR},
  volume    = {abs/1906.11964},
  year      = {2019},
  url       = {http://arxiv.org/abs/1906.11964},
  archivePrefix = {arXiv},
  eprint    = {1906.11964},
  timestamp = {Mon, 01 Jul 2019 13:00:07 +0200},
  biburl    = {https://dblp.org/rec/journals/corr/abs-1906-11964.bib},
  bibsource = {dblp computer science bibliography, https://dblp.org}
}"
